119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,257,257,257,257,
47,47,47,47,47,47,4,119,119,119,119,3,47,47,47,47,47,47,47,47,4,119,119,119,119,129,257,257,257,257,
50,50,50,50,50,50,23,119,119,119,119,25,50,50,50,50,50,50,50,50,23,119,119,119,119,129,257,257,257,257,
1,1,1,1,2,50,23,119,119,119,119,25,50,0,1,1,1,1,2,50,23,119,119,119,119,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,129,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,129,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,129,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,119,257,257,257,257,
119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,119,25,50,23,119,119,119,129,129,119,119,119,119,
119,119,129,129,25,50,46,47,47,47,47,48,50,23,119,119,119,119,25,50,46,47,47,47,47,47,47,47,47,47,
119,119,119,119,25,50,50,50,50,50,50,50,50,23,119,119,119,119,25,50,50,50,50,50,50,50,50,50,50,50,
119,119,119,119,26,1,1,1,1,1,1,1,1,27,119,119,119,119,26,1,1,1,1,1,1,1,1,1,1,1,
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,
